City,State,Country,Shape_id,Image,Date,Time
San Francisco,CA,USA,4,No,06/12/2022,22:04:00
Stockton,CA,USA,4,Yes,06/12/2022,04:31:00
Covington,GA,USA,4,No,06/12/2022,02:00:00
Austin,TX,USA,4,Yes,06/11/2022,20:20:00
Fort Lauderdale,FL,USA,4,Yes,06/10/2022,21:28:00
Neenah,WI,USA,4,Yes,06/10/2022,21:12:00
Madison,CT,USA,4,Yes,06/08/2022,23:59:00
Scarborough,ON,Canada,4,No,06/07/2022,22:10:00
Fountain,NC,USA,4,No,06/05/2022,19:17:00
Fairport,NY,USA,4,Yes,06/05/2022,10:05:00
Tunkhannock,PA,USA,4,No,06/04/2022,23:03:00
Seoul,Seoul,South Korea,4,Yes,06/04/2022,22:33:00
ashtabula,OH,USA,4,No,06/04/2022,10:42:00
Fort collins,CO,USA,4,No,06/01/2022,20:00:00
Jacksonville,FL,USA,4,No,06/01/2022,04:49:00
Gulfport,MS,USA,4,No,05/12/2022,22:16:00
Windham,ME,USA,4,No,05/12/2022,04:00:00
Valleystream,NY,USA,4,No,05/11/2022,23:21:00
Morristown,TN,USA,4,Yes,05/11/2022,20:45:00
Pangburn,AR,USA,4,No,05/10/2022,22:30:00
Orlando,FL,USA,4,No,05/08/2022,19:30:00
LAKEWOOD,OH,USA,4,Yes,05/08/2022,05:15:00
Medicine Bow,WY,USA,4,No,05/08/2022,03:16:00
Cranleigh,Surrey,United Kingdom,4,No,05/07/2022,20:15:00
Fife Lake,MI,USA,4,No,05/06/2022,22:30:00
okeechobee,FL,USA,4,No,05/06/2022,05:00:00
Port Murray,NJ,USA,4,No,05/05/2022,04:50:00
westlake village,CA,USA,4,No,05/04/2022,21:43:00
West Tisbury,MA,USA,4,No,05/02/2022,01:00:00
WALLKILL,NY,USA,4,No,05/01/2022,20:05:00
Cochrane,ON,Canada,4,Yes,05/01/2022,04:41:00
"Buffalo Township, Butler County",PA,USA,4,No,04/12/2022,21:10:00
Interstate 78 Near Lebanon exit,PA,USA,4,No,04/11/2022,09:15:00
Jacksonville,FL,USA,4,No,04/10/2022,17:15:00
Summerville,SC,USA,4,No,04/09/2022,23:16:00
Coachella,CA,USA,4,No,04/09/2022,20:19:00
Kansas city,MO,USA,4,No,04/09/2022,19:57:00
Fort Lauderdale,FL,USA,4,No,04/08/2022,19:10:00
Fall River,MA,USA,4,No,04/06/2022,23:15:00
The Villages,FL,USA,4,Yes,04/04/2022,06:30:00
Big Cedar,OK,USA,4,No,04/04/2022,02:01:00
Nampa,ID,USA,4,No,04/03/2022,08:23:00
Sellersville,PA,USA,4,No,04/02/2022,23:30:00
Tewksbury,MA,USA,4,No,04/02/2022,22:35:00
Lebanon,OR,USA,4,No,04/02/2022,22:04:00
cmch,NJ,USA,4,No,04/02/2022,20:34:00
Sherrills Ford,NC,USA,4,Yes,04/02/2022,06:39:00
Chickasaw,AL,USA,4,No,03/11/2022,22:30:00
Hamilton,MA,USA,4,No,03/11/2022,21:35:00
Jessup,MD,USA,4,Yes,03/11/2022,05:25:00
Kansas City,MO,USA,4,No,03/11/2022,02:00:00
Doswell,VA,USA,4,No,03/11/2022,01:05:00
Mount Union,PA,USA,4,No,03/10/2022,19:20:00
Tehran,Alborz Province,Iran,4,No,03/10/2022,00:30:00
Littleton,CO,USA,4,No,03/08/2022,01:46:00
llanddudno,Gwynedd,UK/England,4,Yes,03/07/2022,04:00:00
Honolulu,HI,USA,4,Yes,03/06/2022,18:10:00
Dundee,MI,USA,4,No,03/05/2022,21:30:00
Fort Myers,FL,USA,4,No,03/04/2022,22:44:00
San Bruno,CA,USA,4,No,03/04/2022,17:35:00
Jacksonville,FL,USA,4,No,02/12/2022,22:15:00
Wortham,TX,USA,4,No,02/12/2022,04:20:00
Framingham,MA,USA,4,No,02/11/2022,20:40:00
Franklin,VA,USA,4,No,02/11/2022,15:06:00
Imperial Beach,CA,USA,4,No,02/11/2022,01:07:00
Apple Valley,MN,USA,4,No,02/10/2022,04:51:00
Palm springs,CA,USA,4,No,02/09/2022,14:50:00
Reading,PA,USA,4,Yes,02/09/2022,05:07:00
Mapleton,UT,USA,4,Yes,02/08/2022,17:47:00
Narberth,PA,USA,4,Yes,02/06/2022,22:57:00
Baltimore,MD,USA,4,No,02/06/2022,14:30:00
Negley,OH,USA,4,No,02/06/2022,13:34:00
Sunrise,WA,USA,4,No,02/05/2022,20:40:00
Battle Creek,MI,USA,4,No,02/05/2022,06:00:00
Framingham,null,USA,4,No,02/05/2022,04:30:00
Danbury,CT,USA,4,No,02/04/2022,23:00:00
Compton,CA,USA,4,Yes,02/04/2022,09:18:00
Eugene,OR,USA,4,No,02/03/2022,19:18:00
Barcelona (Spain),Barcelona Province,Spain,4,No,02/03/2022,19:15:00
Midlothian,VA,USA,4,No,02/03/2022,18:10:00
DuBois,PA,USA,4,No,02/01/2022,21:30:00
Avoca,IA,USA,4,No,01/11/2022,18:00:00
St. George,UT,USA,4,No,01/11/2022,05:15:00
Satellite Beach,FL,USA,4,No,01/08/2022,21:55:00
San Marcos,CA,USA,4,No,01/08/2022,18:35:00
Chattanooga,TN,USA,4,No,01/08/2022,04:18:00
Hagerman,ID,USA,4,No,01/08/2022,02:24:00
Carrabelle Florida,FL,USA,4,No,01/07/2022,20:42:00
Lawrenceville,GA,USA,4,No,01/07/2022,01:00:00
Cowes,Isle of Wight,United Kingdom,4,No,01/06/2022,19:19:00
Port Blair,Andaman and Nicobar Islands,India,4,Yes,01/06/2022,17:07:00
Toronto,Ontario,Canada,4,No,01/04/2022,18:37:00
Globe,AZ,USA,4,No,01/04/2022,18:20:00
Waipahu,HI,USA,4,No,01/04/2022,09:42:00
Lexington,VA,USA,4,No,01/04/2022,07:00:00
Collingwood (Canada),Ontario,Canada,4,No,01/03/2022,18:40:00
Willow,AK,USA,4,Yes,01/02/2022,18:23:00
Tucson,AZ,USA,4,Yes,01/02/2022,04:30:00
Houston,TX,USA,4,No,01/01/2022,12:15:00
Anna,TX,USA,4,Yes,01/01/2022,03:16:00
Anna,TX,USA,4,Yes,01/01/2022,03:05:00
Troy,NY,USA,4,No,01/01/2022,00:58:00
Bozeman,MT,USA,4,No,01/01/2022,00:15:00
Campbell,CA,USA,4,No,01/01/2022,00:04:00
Wolfeboro,NH,USA,4,No,12/12/2021,17:52:00
Sallisaw,OK,USA,4,No,12/11/2021,23:00:00
Cumberland,OH,USA,4,No,12/10/2021,23:29:00
Little Rock,AR,USA,4,No,12/10/2021,22:45:00
Waxhaw,NC,USA,4,No,12/10/2021,19:30:00
Bourne area,MA,USA,4,No,12/09/2021,12:00:00
Gastonia,NC,USA,4,No,12/09/2021,07:00:00
Staunton,VA,USA,4,Yes,12/09/2021,04:00:00
Lexington,NC,USA,4,No,12/07/2021,17:30:00
Alexandria,VA,USA,4,No,12/07/2021,08:00:00
St. Peters,MN,USA,4,No,12/06/2021,17:30:00
North Arlington,NJ,USA,4,No,12/04/2021,18:30:00
Corning,NY,USA,4,No,12/04/2021,18:30:00
Mason,OH,USA,4,No,12/03/2021,19:00:00
Roanoke,VA,USA,4,No,12/03/2021,17:30:00
Pinetop,AZ,USA,4,No,12/02/2021,18:30:00
Carmel,CA,USA,4,No,12/02/2021,17:30:00
Hickory Creek,TX,USA,4,No,11/12/2021,10:00:00
Fenton,MI,USA,4,No,11/11/2021,23:30:00
Manchester,NH,USA,4,No,11/11/2021,18:30:00
Alexandria,VA,USA,4,No,11/07/2021,21:52:00
Lawrence,KS,USA,4,No,11/06/2021,18:45:00
Minneapolis,MN,USA,4,Yes,11/05/2021,17:08:00
Trenton,NJ,USA,4,No,11/02/2021,17:00:00
Lagrange,GA,USA,4,No,11/02/2021,08:03:00
Sale,Manchester,United Kingdom,4,Yes,10/10/2021,23:02:00
Gardendale,AL,USA,4,No,10/10/2021,19:13:00
Henrico,NC,USA,4,No,10/09/2021,06:16:00
Fort Worth,TX,USA,4,Yes,10/07/2021,23:38:00
Prim,AR,USA,4,No,10/06/2021,20:15:00
Kirkland Lake (Canada),ON,Canada,4,No,10/06/2021,00:55:00
Spokane,WA,USA,4,No,10/05/2021,21:30:00
Los Angeles,CA,USA,4,No,10/05/2021,19:45:00
Kings Park,NY,USA,4,No,09/12/2021,21:03:00
medford,OR,USA,4,Yes,09/11/2021,23:06:00
Grand Rapids,MI,USA,4,No,09/11/2021,04:30:00
Morrison,CO,USA,4,Yes,09/05/2021,19:12:00
San Diego,CA,USA,4,No,09/02/2021,19:40:00
Victor,CO,USA,4,No,08/07/2021,22:49:00
Carson,WA,USA,4,No,08/06/2021,15:00:00
Leesburg,FL,USA,4,No,08/05/2021,23:09:00
West Sayville,NY,USA,4,No,08/05/2021,19:18:00
Fort Plain,NY,USA,4,No,08/03/2021,20:45:00
Leesburg,FL,USA,4,No,08/01/2021,20:21:00
Indianapolis,IN,USA,4,No,07/10/2021,09:20:00
Superior,WI,USA,4,No,07/08/2021,23:00:00
Superior,WI,USA,4,No,07/08/2021,23:00:00
Rudolph,WI,USA,4,No,07/08/2021,13:00:00
Surrey (Canada),British Columbia,Canada,4,No,07/08/2021,03:00:00
Paris,TX,USA,4,No,07/07/2021,22:30:00
Natchitoches,LA,USA,4,No,07/07/2021,01:00:00
Vineland,NJ,USA,4,No,07/07/2021,00:17:00
Lebanon,OR,USA,4,No,07/06/2021,11:40:00
Duxbury,MA,USA,4,No,07/05/2021,22:00:00
Detroit,MI,USA,4,No,07/05/2021,02:53:00
Decatur,IL,USA,4,No,07/04/2021,22:00:00
Duxbury,MA,USA,4,No,07/04/2021,20:00:00
Shamokin,PA,USA,4,No,07/03/2021,10:00:00
Washington,DC,USA,4,No,07/01/2021,17:24:00
Louisville,KY,USA,4,No,06/12/2021,00:00:00
Hammond,IN,USA,4,No,06/11/2021,22:30:00
Fayette,ME,USA,4,No,06/10/2021,22:30:00
Fayette,ME,USA,4,No,06/10/2021,22:30:00
Effort,PA,USA,4,No,06/09/2021,10:30:00
Leominster,MA,USA,4,No,06/03/2021,11:30:00
Mojave,CA,USA,4,No,06/01/2021,21:45:00
Phillipsburg,NJ,USA,4,No,05/12/2021,01:00:00
Naples,FL,USA,4,No,05/10/2021,11:00:00
Mobile,AL,USA,4,No,05/09/2021,23:30:00
Nokomis,FL,USA,4,No,05/09/2021,02:39:00
Evansville,IN,USA,4,No,05/08/2021,23:49:00
Chisholm,MN,USA,4,No,05/08/2021,23:00:00
Camp Hill,PA,USA,4,No,05/08/2021,21:40:00
Ashburn,VA,USA,4,No,05/08/2021,21:36:00
Toronto (Canada),ON,Canada,4,No,05/06/2021,23:00:00
Flippin,AR,USA,4,No,05/06/2021,21:30:00
Toronto (Canada),ON,Canada,4,No,05/05/2021,22:45:00
Chino Valley,AZ,USA,4,No,05/05/2021,21:04:00
Tucson,AZ,USA,4,No,05/05/2021,21:00:00
Gardnerville,NV,USA,4,No,05/05/2021,21:00:00
Cordes Lakes,AZ,USA,4,No,05/05/2021,21:00:00
Pinon Hills,CA,USA,4,No,05/05/2021,21:00:00
Oregon City,OR,USA,4,No,05/05/2021,04:40:00
Zamora,CA,USA,4,No,05/04/2021,04:40:00
Seattle,WA,USA,4,No,05/02/2021,06:30:00
Fond du Lac,WI,USA,4,No,05/01/2021,20:00:00
Fond du Lac,WI,USA,4,No,05/01/2021,20:00:00
Fredericksburg,VA,USA,4,No,05/01/2021,18:00:00
Moore,TX,USA,4,No,04/11/2021,22:00:00
Terre Haute,IN,USA,4,No,04/10/2021,21:45:00
Tumwater,WA,USA,4,No,04/10/2021,21:00:00
Rochester,NY,USA,4,No,04/08/2021,20:53:00
Buffalo,NY,USA,4,No,04/08/2021,20:30:00
Fort Lauderdale,FL,USA,4,No,04/08/2021,00:00:00
Palm Desert,CA,USA,4,No,04/07/2021,00:00:00
Hudson,NC,USA,4,No,04/05/2021,19:00:00
Salt Lake City,UT,USA,4,No,04/01/2021,22:00:00
Louisville,KY,USA,4,No,04/01/2021,02:00:00
Palm Springs,CA,USA,4,No,03/12/2021,12:10:00
Dixon,IL,USA,4,No,03/11/2021,18:50:00
São domingos,Santa Catarina,Brazil,4,No,02/12/2021,20:30:00
Strawberry,AZ,USA,4,No,02/12/2021,06:09:00
Allenwood,PA,USA,4,No,02/12/2021,06:00:00
Mississauga (Canada),ON,Canada,4,No,02/11/2021,19:50:00
Toms River,NJ,USA,4,No,02/11/2021,01:00:00
Clermont,FL,USA,4,No,02/08/2021,07:45:00
Carlton River (Australia),Tasmania,Australia,4,No,02/07/2021,04:56:00
Vancouver,WA,USA,4,No,02/06/2021,23:07:00
Oswego,NY,USA,4,No,02/06/2021,21:45:00
Cleveland,TN,USA,4,No,02/05/2021,10:18:00
Cary,NC,USA,4,No,02/04/2021,07:45:00
Vernal,UT,USA,4,No,02/03/2021,20:20:00
Mattoon,IL,USA,4,No,02/03/2021,20:13:00
Nespelem,WA,USA,4,No,02/03/2021,06:00:00
Eugene,OR,USA,4,No,02/01/2021,19:30:00
Tularosa,NM,USA,4,No,01/12/2021,17:12:00
North Zulch,TX,USA,4,No,01/08/2021,10:00:00
Painesville,OH,USA,4,No,01/08/2021,06:30:00
Wichita,KS,USA,4,No,01/07/2021,21:30:00
Lakeland,FL,USA,4,No,01/07/2021,14:30:00
Wolcott,CT,USA,4,No,01/06/2021,05:49:00
Lakeland,FL,USA,4,No,01/05/2021,19:00:00
Greenville,CA,USA,4,No,01/05/2021,17:43:00
Lake Oswego,OR,USA,4,No,01/05/2021,14:30:00
Colcord,OK,USA,4,No,01/04/2021,23:46:00
Gresham,OR,USA,4,No,01/04/2021,21:00:00
Salida,CO,USA,4,No,01/03/2021,10:00:00
Hampton,AR,USA,4,No,01/03/2021,01:00:00
Westcliffe,CO,USA,4,No,01/03/2021,00:00:00
Alexandria,LA,USA,4,No,01/01/2021,23:00:00
Gallaman,MS,USA,4,No,01/01/2021,18:00:00
Near Philadelphia,MS,USA,4,No,01/01/2021,04:38:00
Riverview,FL,USA,4,No,01/01/2021,00:00:00
PHOENIX,AZ,USA,4,No,01/01/2021,00:00:00
York Harbor,ME,USA,4,No,12/09/2020,21:47:00
Pacifica,CA,USA,4,No,12/08/2020,02:00:00
Tucson,AZ,USA,4,No,12/05/2020,22:30:00
Breckenridge,TX,USA,4,No,12/05/2020,21:10:00
Palmer Lake,CO,USA,4,No,12/05/2020,18:00:00
Deweyville,UT,USA,4,No,12/04/2020,19:15:00
Valentine,NE,USA,4,No,12/04/2020,18:50:00
Boulder,CO,USA,4,No,12/04/2020,18:30:00
Evergreen,CO,USA,4,No,12/04/2020,18:15:00
Ft.atkinson,IA,USA,4,No,12/04/2020,00:00:00
Hilliard,OH,USA,4,No,12/03/2020,19:30:00
Hollister,CA,USA,4,No,12/03/2020,18:15:00
San Diego,CA,USA,4,No,12/02/2020,18:05:00
Riverside,CA,USA,4,No,12/02/2020,06:00:00
Stamford,CT,USA,4,No,12/02/2020,01:00:00
Sekiu,WA,USA,4,No,12/01/2020,23:00:00
Baton Rouge,LA,USA,4,No,12/01/2020,20:00:00
Millstone,NJ,USA,4,No,12/01/2020,12:00:00
Laguna Hills,CA,USA,4,No,11/11/2020,16:13:00
Laguna Hills,CA,USA,4,No,11/11/2020,16:13:00
Harrisburg,PA,USA,4,No,11/08/2020,19:25:00
Palacios,TX,USA,4,No,11/08/2020,13:00:00
Visalia,CA,USA,4,No,11/07/2020,23:00:00
Lower Moreland,PA,USA,4,No,11/06/2020,23:30:00
Rochester,NH,USA,4,No,11/06/2020,21:20:00
Rochester,NY,USA,4,No,11/06/2020,20:30:00
Spring Hill,FL,USA,4,No,11/05/2020,18:30:00
Ocala,FL,USA,4,No,11/05/2020,18:24:00
Kingman,AZ,USA,4,No,11/04/2020,20:55:00
Currie,MN,USA,4,No,11/04/2020,19:30:00
Crowley,CO,USA,4,No,11/04/2020,10:45:00
medinah,IL,USA,4,No,11/04/2020,06:00:00
Angola,IN,USA,4,No,11/04/2020,05:30:00
Oregon City,OR,USA,4,No,11/03/2020,19:05:00
GREER,SC,USA,4,No,11/02/2020,20:30:00
Olympia,WA,USA,4,No,11/02/2020,08:30:00
Riviera Beach,FL,USA,4,No,11/01/2020,20:00:00
Lilburn,GA,USA,4,No,11/01/2020,20:00:00
Weston,FL,USA,4,No,11/01/2020,19:50:00
Jefferson City,TN,USA,4,No,11/01/2020,01:03:00
Bloomington,IN,USA,4,No,10/12/2020,01:11:00
Lancaster,CA,USA,4,No,10/11/2020,23:11:00
seabeck,WA,USA,4,No,10/11/2020,00:00:00
Pensacola,FL,USA,4,No,10/09/2020,17:35:00
Bemidji,MN,USA,4,No,10/08/2020,03:25:00
Lansing,MI,USA,4,No,10/08/2020,03:00:00
Coggon,IA,USA,4,No,10/08/2020,02:40:00
Charlottesville,VA,USA,4,No,10/07/2020,06:15:00
Youngstown,NY,USA,4,No,10/07/2020,05:15:00
Tulsa,OK,USA,4,No,10/06/2020,06:40:00
Staten Island,NY,USA,4,No,10/05/2020,17:00:00
Lakeside,CA,USA,4,No,10/05/2020,06:30:00
Niagara Falls (Canada),ON,Canada,4,No,10/04/2020,22:30:00
Franklin,OH,USA,4,No,10/04/2020,22:00:00
Lowell,MI,USA,4,No,10/04/2020,20:45:00
Playa del Rey,CA,USA,4,No,10/03/2020,22:30:00
Anchorage,AK,USA,4,No,10/03/2020,18:00:00
New Hartford,NY,USA,4,No,10/02/2020,20:00:00
Brunswick,ME,USA,4,No,10/02/2020,19:15:00
Mount Carmel,PA,USA,4,No,10/01/2020,20:00:00
Roebling,NJ,USA,4,No,10/01/2020,19:45:00
Redding,CA,USA,4,No,10/01/2020,04:00:00
Kirkland,WA,USA,4,No,09/12/2020,21:00:00
Millcreek,UT,USA,4,No,09/12/2020,20:30:00
St. Clair,MI,USA,4,No,09/11/2020,22:40:00
Intervale,NH,USA,4,No,09/09/2020,09:00:00
Morristown,TN,USA,4,No,09/09/2020,05:13:00
Norwich,NY,USA,4,No,09/09/2020,01:00:00
Nissequogue,NY,USA,4,No,09/07/2020,21:41:00
York Springs,PA,USA,4,No,09/07/2020,19:25:00
Orrstown,PA,USA,4,No,09/07/2020,19:00:00
Anchorage,AK,USA,4,No,09/07/2020,04:45:00
Sandpoint,ID,USA,4,No,09/07/2020,04:00:00
Marcy,NY,USA,4,No,09/06/2020,23:25:00
Nipomo,CA,USA,4,No,09/06/2020,23:06:00
Delanson,NY,USA,4,No,09/06/2020,20:30:00
Northampton,MA,USA,4,No,09/06/2020,08:01:00
Thorndale/Downingtown,PA,USA,4,No,09/06/2020,02:30:00
Huntington Park,CA,USA,4,No,09/06/2020,00:00:00
Southhampton,NY,USA,4,No,09/05/2020,21:54:00
Atkinson,NH,USA,4,No,09/05/2020,20:16:00
