City,State,Country,Shape,Image_Share,cleaned_date,cleaned_time,time
Stamford,CT,USA,Circle,No,,02:08:00,02:08
Cheney,KS,USA,Circle,No,,22:00:00,22:00
Pleasantville,IA,USA,Circle,Yes,,16:02:00,16:02
Senoia,GA,USA,Circle,No,,23:43:00,23:43
Rancho Cucamonga,CA,USA,Circle,Yes,,23:05:00,23:05
Queens,NY,USA,Circle,Yes,,20:55:00,20:55
Laporte,IN,USA,Circle,Yes,,13:12:00,13:12
Inman,SC,USA,Circle,Yes,,02:00:00,02:00
Albia,IA,USA,Circle,Yes,,01:15:00,01:15
Bullard,TX,USA,Circle,No,,01:00:00,01:00
Rye,CO,USA,Circle,No,,00:20:00,00:20
Marengo,IL,USA,Circle,Yes,,00:15:00,00:15
Torquay,Victoria,Australia,Circle,No,,20:01:00,20:01
New Braunfels,TX,USA,Circle,No,,23:51:00,23:51
Saint Peter,MN,USA,Circle,No,,23:48:00,23:48
Seattle,WA,USA,Circle,Yes,,01:00:00,01:00
Seattle,WA,USA,Circle,Yes,,02:12:00,02:12
DuBois,PA,USA,Circle,No,,23:59:00,23:59
Stamford,CT,USA,Circle,Yes,,12:28:00,12:28
Stamford,CT,USA,Circle,Yes,,19:30:00,19:30
Greenwood,IN,USA,Circle,Yes,,05:00:00,05:00
Rockville,MD,USA,Circle,Yes,,05:05:00,05:05
Richland,WA,USA,Circle,No,,22:52:00,22:52
Lakeville,NY,USA,Circle,No,,22:30:00,22:30
Pacifica,CA,USA,Circle,No,,21:01:00,21:01
Moosic,PA,USA,Circle,No,,21:30:00,21:30
Markham,ON,Canada,Circle,Yes,,14:58:00,14:58
Carmel,CA,USA,Circle,No,,21:05:00,21:05
Southington,CT,USA,Circle,No,,14:40:00,14:40
Bronx,NY,USA,Circle,No,,12:17:00,12:17
Stamford,CT,USA,Circle,No,,12:20:00,12:20
Stafford,VA,USA,Circle,Yes,,12:00:00,12:00
Saratoga Springs,UT,USA,Circle,No,,04:23:00,04:23
Irvington,KY,USA,Circle,No,,11:13:00,11:13
Grant,MI,USA,Circle,No,,23:30:00,23:30
OREGON CITY,OR,USA,Circle,No,,09:05:00,09:05
Alvord Desert,OR,USA,Circle,No,,21:20:00,21:20
Salem,VA,USA,Circle,No,,21:00:00,21:00
middle grove,NY,USA,Circle,No,,22:00:00,22:00
Troy,MT,USA,Circle,No,,21:27:00,21:27
Moab,UT,USA,Circle,No,,21:10:00,21:10
Oneida,TN,USA,Circle,Yes,,05:50:00,05:50
Montgomery,PA,USA,Circle,No,,04:34:00,04:34
Vienna,VA,USA,Circle,Yes,,08:02:00,08:02
LONG BEACH,CA,USA,Circle,No,,23:58:00,23:58
"Mooresville, Charlotte",NC,USA,Circle,Yes,,20:20:00,20:20
Denver,CO,USA,Circle,No,,22:40:00,22:40
Lafayette,CO,USA,Circle,No,,23:19:00,23:19
Albuquerque,NM,USA,Circle,No,,21:54:00,21:54
Farmington,NM,USA,Circle,No,,20:27:00,20:27
Hellertown,PA,USA,Circle,No,,21:55:00,21:55
Aurora,IN,USA,Circle,Yes,,14:20:00,14:20
Autin,TX,USA,Circle,No,,21:45:00,21:45
Lincoln,CA,USA,Circle,No,,23:50:00,23:50
Littleton,CO,USA,Circle,No,,11:54:00,11:54
Long Beach,CA,USA,Circle,No,,15:00:00,15:00
Fairbanks,AK,USA,Circle,Yes,,04:49:00,04:49
Berry,KY,USA,Circle,No,,23:30:00,23:30
Hemet,CA,USA,Circle,No,,22:00:00,22:00
Battle Ground,WA,USA,Circle,Yes,,00:00:00,00:00
Sacramento,CA,USA,Circle,Yes,,23:00:00,23:00
Charlton (UK/England),Royal Borough of Greenwich,UK/England,Circle,No,,17:30:00,17:30
Loxley,AL,USA,Circle,No,,05:32:00,05:32
Belchertown,MA,USA,Circle,No,,19:50:00,19:50
San Diego,CA,USA,Circle,Yes,,19:53:00,19:53
El Cajon,CA,USA,Circle,Yes,,02:14:00,02:14
Kasilof,AK,USA,Circle,Yes,,22:26:00,22:26
Spring Valley,CA,USA,Circle,No,,16:35:00,16:35
Vista,CA,USA,Circle,Yes,,14:00:00,14:00
Creston,CA,USA,Circle,Yes,,10:58:00,10:58
Brimfield,MA,USA,Circle,Yes,,20:26:00,20:26
Staten Island,NY,USA,Circle,Yes,,09:00:00,09:00
White Oak,OH,USA,Circle,Yes,,02:00:00,02:00
Berlin,MD,USA,Circle,No,,21:00:00,21:00
Spring Hill,FL,USA,Circle,No,,17:47:00,17:47
Seaford,NY,USA,Circle,No,,23:00:00,23:00
Sunderland. Houghton le Spring,County Durham,United Kingdom,Circle,No,,19:28:00,19:28
QUEEN CREEK,AZ,USA,Circle,Yes,,06:05:00,06:05
Honolulu,HI,USA,Circle,No,,02:00:00,02:00
Brownstown,PA,USA,Circle,No,,06:25:00,06:25
Los Angelas,CA,USA,Circle,No,,03:50:00,03:50
San Francisco,CA,USA,Circle,No,,17:46:00,17:46
Las Vegas,NV,USA,Circle,Yes,,13:53:00,13:53
Rego park,NY,USA,Circle,Yes,,20:25:00,20:25
Laytonville,null,USA,Circle,Yes,,19:05:00,19:05
deep river,CT,USA,Circle,No,,00:24:00,00:24
Tucson,AZ,USA,Circle,No,,21:03:00,21:03
Wayne,NJ,USA,Circle,No,,00:15:00,00:15
Honolulu,HI,USA,Circle,No,,21:32:00,21:32
Wellington,FL,USA,Circle,No,,16:13:00,16:13
Glendale,AZ,USA,Circle,No,,06:30:00,06:30
South Dennis,MA,USA,Circle,No,,00:38:00,00:38
Sonora,CA,USA,Circle,No,,12:07:00,12:07
Chili,NY,USA,Circle,No,,22:20:00,22:20
Lees Summit,MO,USA,Circle,No,,06:47:00,06:47
Surrey (Canada),BC,Canada,Circle,Yes,,06:41:00,06:41
Port Allegheny,PA,USA,Circle,Yes,,19:46:00,19:46
Fort Smith,AR,USA,Circle,No,,18:50:00,18:50
Puryear,TN,USA,Circle,Yes,,18:49:00,18:49
Pinellas park,FL,USA,Circle,No,,23:40:00,23:40
Phoenix,AZ,USA,Circle,No,,21:06:00,21:06
Huntsville,AL,USA,Circle,No,,19:00:00,19:00
Peakhurst Heights,New South Wales,Australia,Circle,No,,05:10:00,05:10
Surga Grove,NC,USA,Circle,No,,20:45:00,20:45
Castro Valley,CA,USA,Circle,Yes,,20:28:00,20:28
Fort Payne,AL,USA,Circle,No,,13:52:00,13:52
Cornville,AZ,USA,Circle,Yes,,10:30:00,10:30
Granada Hills,CA,USA,Circle,No,,11:53:00,11:53
Calera,AL,USA,Circle,No,,19:30:00,19:30
Geraldton (Australia),Western Australia,Australia,Circle,Yes,,04:00:00,04:00
Beecher,IL,USA,Circle,No,,18:50:00,18:50
Mckinelyville,CA,USA,Circle,Yes,,09:21:00,09:21
Weymouth,MA,USA,Circle,No,,19:12:00,19:12
Chattanooga,TN,USA,Circle,No,,21:15:00,21:15
Winter haven,FL,USA,Circle,No,,21:08:00,21:08
Millsboro,DE,USA,Circle,No,,20:50:00,20:50
Colquitt,GA,USA,Circle,Yes,,07:54:00,07:54
Walsenburg,CO,USA,Circle,Yes,,05:59:00,05:59
Moorestown,NJ,USA,Circle,Yes,,23:30:00,23:30
"Taylorsville, Salt Lake, Utah",UT,USA,Circle,No,,18:58:00,18:58
Langhorne,PA,USA,Circle,No,,20:48:00,20:48
Ketchum,ID,USA,Circle,No,,04:10:00,04:10
Raleigh,NC,USA,Circle,No,,02:35:00,02:35
Spuzzum,British Columbia,Canada,Circle,No,,17:32:00,17:32
Eliasville,TX,USA,Circle,No,,22:40:00,22:40
Waterlooville (UK/England),Hampshire,United Kingdom,Circle,No,,20:39:00,20:39
Manila (Philippines),Metro Manila,Philippines,Circle,No,,17:30:00,17:30
Norfolk,VA,USA,Circle,No,,17:30:00,17:30
Kalamazoo,MI,USA,Circle,No,,23:00:00,23:00
Cambridge,MD,USA,Circle,Yes,,21:30:00,21:30
Milton,FL,USA,Circle,Yes,,17:45:00,17:45
Concho,AZ,USA,Circle,No,,01:15:00,01:15
Branford,CT,USA,Circle,No,,21:00:00,21:00
Spokane,WA,USA,Circle,Yes,,19:30:00,19:30
MacArthur,WV,USA,Circle,Yes,,17:48:00,17:48
Derby,NY,USA,Circle,No,,18:30:00,18:30
Supply,NC,USA,Circle,No,,02:00:00,02:00
Troy,NY,USA,Circle,No,,00:30:00,00:30
Branford,CT,USA,Circle,Yes,,23:00:00,23:00
Baltimore,MD,USA,Circle,No,,18:59:00,18:59
Cape Coral,FL,USA,Circle,No,,19:16:00,19:16
Butte,MT,USA,Circle,Yes,,22:30:00,22:30
Cambria Heights,NY,USA,Circle,No,,03:30:00,03:30
Between Mississauga and Toronto,Ontario,Canada,Circle,No,,17:00:00,17:00
Stow,MA,USA,Circle,No,,18:15:00,18:15
Madison,NC,USA,Circle,No,,06:00:00,06:00
King,NC,USA,Circle,No,,00:30:00,00:30
Plymouth,MA,USA,Circle,No,,17:00:00,17:00
Olympia,WA,USA,Circle,No,,16:30:00,16:30
Lennox,MA,USA,Circle,No,,20:00:00,20:00
Chandler,AZ,USA,Circle,No,,19:30:00,19:30
Carmichael,CA,USA,Circle,No,,18:30:00,18:30
Big Coppitt,FL,USA,Circle,No,,23:00:00,23:00
Jenner,CA,USA,Circle,No,,21:30:00,21:30
Delta,CO,USA,Circle,No,,20:16:00,20:16
Surprise,AZ,USA,Circle,No,,18:30:00,18:30
Camden,DE,USA,Circle,No,,19:30:00,19:30
BirchBay,WA,USA,Circle,No,,00:00:00,00:00
Hondo,TX,USA,Circle,No,,19:30:00,19:30
Aldan,PA,USA,Circle,No,,18:00:00,18:00
Surfside,FL,USA,Circle,No,,03:30:00,03:30
Claycomo,MO,USA,Circle,No,,20:30:00,20:30
Lordsburg and Silver City (between),NM,USA,Circle,No,,23:30:00,23:30
Dubois,PA,USA,Circle,No,,21:30:00,21:30
Nampa,ID,USA,Circle,No,,17:30:00,17:30
Lansing,IL,USA,Circle,Yes,,01:15:00,01:15
Brunswick,OH,USA,Circle,No,,13:30:00,13:30
Elgin,IL,USA,Circle,No,,19:25:00,19:25
West Jordan,UT,USA,Circle,No,,18:45:00,18:45
Lake worth,FL,USA,Circle,No,,18:00:00,18:00
Auburndale,FL,USA,Circle,No,,03:22:00,03:22
Yelm,WA,USA,Circle,No,,22:00:00,22:00
saint augustine,FL,USA,Circle,Yes,,17:35:00,17:35
Cary,NC,USA,Circle,No,,19:10:00,19:10
Surrey (Canada),BC,Canada,Circle,No,,18:00:00,18:00
Portland,OR,USA,Circle,No,,23:00:00,23:00
Barnes,KS,USA,Circle,No,,19:00:00,19:00
Soldotna,AK,USA,Circle,No,,09:25:00,09:25
Soldotna,AK,USA,Circle,No,,09:25:00,09:25
Sykesville,MD,USA,Circle,No,,20:24:00,20:24
Mahwah,NJ,USA,Circle,No,,20:00:00,20:00
Burney,CA,USA,Circle,No,,19:00:00,19:00
Hamilton,NJ,USA,Circle,No,,19:00:00,19:00
Tonganoxie,KS,USA,Circle,No,,20:30:00,20:30
Toms River,NJ,USA,Circle,No,,03:11:00,03:11
South San Francisco,CA,USA,Circle,No,,18:43:00,18:43
Walkill,NY,USA,Circle,No,,21:00:00,21:00
Mechanicsburg,PA,USA,Circle,No,,17:14:00,17:14
Los Angeles,CA,USA,Circle,No,,20:30:00,20:30
Tampa,FL,USA,Circle,No,,14:00:00,14:00
Cape Coral,FL,USA,Circle,No,,21:00:00,21:00
Hecla Island (Canada),Manitoba,Canada,Circle,Yes,,12:00:00,12:00
Jamul,CA,USA,Circle,No,,18:45:00,18:45
Albany,OR,USA,Circle,No,,00:00:00,00:00
Augusta,ME,USA,Circle,No,,19:20:00,19:20
Thorofare,NJ,USA,Circle,No,,18:28:00,18:28
Toms River,NJ,USA,Circle,No,,13:45:00,13:45
Huntington,NY,USA,Circle,No,,19:32:00,19:32
Moses Lake,WA,USA,Circle,No,,21:25:00,21:25
Roseville,MI,USA,Circle,Yes,,19:45:00,19:45
Portage,IN,USA,Circle,No,,20:45:00,20:45
Sycamore,IL,USA,Circle,No,,08:30:00,08:30
Litchfield park,AZ,USA,Circle,No,,21:00:00,21:00
Manistique,MI,USA,Circle,No,,00:30:00,00:30
Lubbock,TX,USA,Circle,No,,02:30:00,02:30
Issaquah,WA,USA,Circle,No,,17:45:00,17:45
Oakland,CA,USA,Circle,No,,15:35:00,15:35
Sandbridge/Virginia Beach,VA,USA,Circle,No,,22:06:00,22:06
Boonton,NJ,USA,Circle,No,,22:00:00,22:00
New York City (Bronx),NY,USA,Circle,No,,20:49:00,20:49
Tooele,UT,USA,Circle,No,,02:00:00,02:00
Chelmsford,Essex,United Kingdom,Circle,Yes,,21:55:00,21:55
Greensboro,NC,USA,Circle,No,,15:45:00,15:45
El Paso,TX,USA,Circle,No,,23:47:00,23:47
Coral Springs,FL,USA,Circle,No,,18:31:00,18:31
Pine Valley,CA,USA,Circle,No,,06:30:00,06:30
Lachute (Canada),QC,Canada,Circle,No,,21:00:00,21:00
Bethlehem,PA,USA,Circle,No,,17:00:00,17:00
Darien,CT,USA,Circle,No,,23:59:00,23:59
Ada,OK,USA,Circle,No,,02:35:00,02:35
Reading,PA,USA,Circle,No,,23:03:00,23:03
Windsor,VA,USA,Circle,No,,20:45:00,20:45
San Antonio,TX,USA,Circle,No,,15:00:00,15:00
Ukiah,CA,USA,Circle,Yes,,03:36:00,03:36
Brewster,WA,USA,Circle,No,,23:30:00,23:30
Kittery,ME,USA,Circle,Yes,,20:36:00,20:36
Kansas City,KS,USA,Circle,No,,00:00:00,
Point Pleasant Beach,NJ,USA,Circle,No,,21:30:00,21:30
Springfield,OR,USA,Circle,No,,05:30:00,05:30
Richboro,PA,USA,Circle,No,,03:01:00,03:01
Philadelphia,PA,USA,Circle,No,,19:35:00,19:35
Hutto,TX,USA,Circle,No,,23:00:00,23:00
Charlotte,NC,USA,Circle,No,,22:30:00,22:30
Boardman,OH,USA,Circle,Yes,,22:30:00,22:30
Aubrey,TX,USA,Circle,No,,21:50:00,21:50
Oakley,CA,USA,Circle,No,,21:24:00,21:24
Edgewood,NM,USA,Circle,No,,18:00:00,18:00
York City (Brooklyn),NY,USA,Circle,No,,19:30:00,19:30
Rutland,VT,USA,Circle,No,,21:52:00,21:52
Wilmington,NC,USA,Circle,No,,05:12:00,05:12
Barret beach fire lsland NY,NY,USA,Circle,No,,04:17:00,04:17
Oakland,CA,USA,Circle,No,,01:20:00,01:20
Downingtown,PA,USA,Circle,No,,01:00:00,01:00
Romulus,NY,USA,Circle,No,,13:00:00,13:00
Cranston,RI,USA,Circle,No,,12:00:00,12:00
Buena park,CA,USA,Circle,No,,09:00:00,09:00
Niwot,CO,USA,Circle,No,,20:45:00,20:45
Boulder,CO,USA,Circle,No,,20:34:00,20:34
Longmont,CO,USA,Circle,No,,20:00:00,20:00
Gladstone,MI,USA,Circle,No,,22:30:00,22:30
Crestline,CA,USA,Circle,No,,21:15:00,21:15
Fallbrook,CA,USA,Circle,No,,00:06:00,00:06
Irvine,CA,USA,Circle,No,,22:20:00,22:20
Palm Springs,CA,USA,Circle,No,,19:00:00,19:00
Little Rock,AR,USA,Circle,No,,16:55:00,16:55
Gun Barrel City,TX,USA,Circle,No,,21:45:00,21:45
Stoneman Lake,AZ,USA,Circle,No,,21:20:00,21:20
Las Vegas,NV,USA,Circle,Yes,,20:22:00,20:22
Calgary (Canada),AB,Canada,Circle,No,,23:13:00,23:13
Margate,FL,USA,Circle,No,,21:12:00,21:12
Williams Bay,WI,USA,Circle,No,,22:00:00,22:00
New Rochelle,NY,USA,Circle,No,,20:45:00,20:45
Alpharetta,GA,USA,Circle,No,,06:46:00,06:46
Laurel,MD,USA,Circle,No,,21:00:00,21:00
Balch Springs,TX,USA,Circle,No,,20:30:00,20:30
Bossier,LA,USA,Circle,No,,22:08:00,22:08
Rancho Mirage,CA,USA,Circle,No,,21:44:00,21:44
Merced,CA,USA,Circle,No,,21:44:00,21:44
Concord Township,ME,USA,Circle,No,,20:30:00,20:30
Michigan City,IN,USA,Circle,No,,10:20:00,10:20
Scottsdale,AZ,USA,Circle,No,,00:00:00,00:00
